Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-06 10:36:23,48,48.0,48.0,48.0,48.0
2024-12-06 10:31:34,-1063,48.0,48.0,-558.0,48.0
2024-12-06 10:29:07,-53,-53.0,-457.0,-53.0,-861.0
2024-12-06 10:31:33,48,48.0,48.0,-154.0,48.0
2024-12-06 10:36:24,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:38,-760,-53.0,-154.0,-659.0,-659.0
2024-12-06 10:32:14,-1164,398.0,-558.0,-1164.0,248.0
2024-12-06 10:33:40,-659,48.0,-659.0,-861.0,-1013.0
2024-12-06 10:34:57,-1063,-457.0,48.0,-356.0,-457.0
2024-12-06 10:28:53,-75,-154.0,-6.0,-558.0,3.0
2024-12-06 10:34:50,-861,68.0,127.0,-760.0,48.0
2024-12-06 10:33:47,-205,-558.0,-56.0,-256.0,498.0
2024-12-06 10:28:54,-356,48.0,48.0,-861.0,48.0
2024-12-06 10:30:56,48,48.0,48.0,48.0,-53.0
2024-12-06 10:34:59,86,48.0,286.0,-558.0,397.0
2024-12-06 10:30:51,-154,48.0,-1164.0,-1063.0,48.0
2024-12-06 10:33:49,-659,48.0,48.0,-154.0,-659.0
2024-12-06 10:28:31,48,78.0,388.0,-154.0,77.0
2024-12-06 10:30:05,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:35,-861,-457.0,-457.0,-861.0,-558.0
2024-12-06 10:33:22,48,48.0,48.0,-154.0,48.0
2024-12-06 10:28:36,-962,-124.0,216.0,-760.0,-1164.0
2024-12-06 10:28:09,-356,-145.0,116.0,-53.0,-861.0
2024-12-06 10:33:25,-861,48.0,48.0,-457.0,48.0
2024-12-06 10:34:32,-659,-427.0,65.0,-760.0,-154.0
2024-12-06 10:30:02,-1063,48.0,-558.0,-457.0,-457.0
2024-12-06 10:33:13,208,48.0,528.0,48.0,528.0
2024-12-06 10:34:04,-1164,-659.0,217.0,-1164.0,296.0
2024-12-06 10:30:34,-659,-962.0,16.0,-255.0,-1063.0
2024-12-06 10:28:07,78,48.0,278.0,-861.0,-659.0
2024-12-06 10:30:33,48,48.0,48.0,48.0,48.0
2024-12-06 10:28:38,-861,48.0,438.0,-962.0,48.0
2024-12-06 10:34:03,-760,48.0,48.0,-457.0,-154.0
2024-12-06 10:33:14,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:50,48,48.0,48.0,48.0,48.0
2024-12-06 10:33:48,-841,-356.0,126.0,-760.0,248.0
2024-12-06 10:30:57,-558,48.0,48.0,-861.0,48.0
2024-12-06 10:34:58,-599,17.0,-367.0,-659.0,48.0
2024-12-06 10:33:46,-589,48.0,417.0,-659.0,267.0
2024-12-06 10:34:51,48,48.0,48.0,48.0,48.0
2024-12-06 10:28:55,48,48.0,48.0,48.0,-760.0
2024-12-06 10:34:56,-336,48.0,-760.0,47.0,-457.0
2024-12-06 10:33:41,48,48.0,48.0,48.0,48.0
2024-12-06 10:28:52,-861,48.0,-356.0,-861.0,-53.0
2024-12-06 10:30:59,48,48.0,48.0,48.0,48.0
2024-12-06 10:28:06,-154,48.0,-962.0,-154.0,-760.0
2024-12-06 10:28:39,388,48.0,-154.0,-974.0,-861.0
2024-12-06 10:33:15,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:02,-457,-962.0,-457.0,-962.0,-760.0
2024-12-06 10:30:32,-457,-457.0,-255.0,-861.0,-255.0
2024-12-06 10:30:35,-216,48.0,417.0,-329.0,13.0
2024-12-06 10:34:05,-1669,-427.0,286.0,-861.0,94.0
2024-12-06 10:33:12,-760,48.0,48.0,48.0,-53.0
2024-12-06 10:28:37,-861,48.0,-266.0,-1164.0,-53.0
2024-12-06 10:30:03,-53,48.0,48.0,-53.0,48.0
2024-12-06 10:28:08,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:33,188,88.0,528.0,48.0,48.0
2024-12-06 10:33:24,-659,-558.0,216.0,-659.0,-558.0
2024-12-06 10:28:30,-962,-53.0,-760.0,-558.0,-1063.0
2024-12-06 10:33:23,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:04,98,48.0,448.0,48.0,48.0
2024-12-06 10:34:16,-558,-861.0,-255.0,-1164.0,-760.0
2024-12-06 10:33:01,48,48.0,48.0,-861.0,-154.0
2024-12-06 10:30:26,-659,48.0,48.0,-760.0,-558.0
2024-12-06 10:34:29,-1063,-1063.0,-962.0,-861.0,-962.0
2024-12-06 10:30:19,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:21,-53,48.0,-457.0,-457.0,-126.0
2024-12-06 10:33:06,46,48.0,266.0,-519.0,-861.0
2024-12-06 10:34:11,-861,-1063.0,-457.0,-255.0,-629.0
2024-12-06 10:28:15,-760,-457.0,-659.0,-760.0,-558.0
2024-12-06 10:33:39,-457,-255.0,48.0,-255.0,-457.0
2024-12-06 10:30:17,-962,-1063.0,-558.0,-1366.0,-37.0
2024-12-06 10:33:30,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:27,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:18,-791,-659.0,387.0,-962.0,114.0
2024-12-06 10:28:23,-962,-861.0,-659.0,-1265.0,-1063.0
2024-12-06 10:34:20,-457,48.0,-154.0,-255.0,-53.0
2024-12-06 10:33:37,-760,-962.0,-861.0,-558.0,-760.0
2024-12-06 10:30:10,-1265,48.0,-861.0,-861.0,48.0
2024-12-06 10:28:24,48,48.0,48.0,48.0,48.0
2024-12-06 10:33:08,48,78.0,488.0,48.0,48.0
2024-12-06 10:30:44,48,48.0,48.0,48.0,48.0
2024-12-06 10:28:48,-861,-962.0,-760.0,-1265.0,-760.0
2024-12-06 10:28:41,-962,-154.0,-429.0,-659.0,166.0
