Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-05 21:49:58,16,16.0,166.0,16.0,16.0
2024-12-05 22:01:40,16,16.0,116.0,16.0,16.0
2024-12-05 21:56:44,16,16.0,166.0,16.0,16.0
2024-12-05 21:51:53,26,16.0,66.0,16.0,156.0
2024-12-05 22:02:58,-85,-489.0,-893.0,-994.0,-994.0
2024-12-05 21:59:33,26,16.0,176.0,16.0,176.0
2024-12-05 21:51:54,16,16.0,16.0,16.0,16.0
2024-12-05 21:56:43,-691,-287.0,-590.0,-489.0,-388.0
2024-12-05 22:01:47,-186,16.0,136.0,16.0,16.0
2024-12-05 21:59:34,15,16.0,166.0,16.0,166.0
2024-12-05 22:02:56,-186,16.0,-85.0,-287.0,-590.0
2024-12-05 21:52:45,166,16.0,176.0,16.0,16.0
2024-12-05 21:55:52,-287,-287.0,-388.0,-590.0,-186.0
2024-12-05 21:59:02,16,16.0,-388.0,16.0,-85.0
2024-12-05 21:49:56,16,16.0,16.0,16.0,16.0
2024-12-05 21:55:55,36,46.0,146.0,16.0,16.0
2024-12-05 21:52:42,-691,46.0,66.0,16.0,46.0
2024-12-05 22:02:51,16,16.0,16.0,16.0,16.0
2024-12-05 21:49:51,-489,16.0,16.0,-287.0,16.0
2024-12-05 22:01:49,-388,76.0,-186.0,-186.0,16.0
2024-12-05 21:59:05,16,46.0,176.0,16.0,176.0
2024-12-05 21:52:29,166,176.0,176.0,16.0,16.0
2024-12-05 21:49:05,26,16.0,136.0,16.0,16.0
2024-12-05 21:59:51,-186,-186.0,-186.0,-489.0,16.0
2024-12-05 21:56:19,16,16.0,16.0,16.0,-186.0
2024-12-05 22:01:22,16,16.0,16.0,16.0,16.0
2024-12-05 21:52:16,-66,-691.0,-691.0,-893.0,136.0
2024-12-05 21:55:01,-489,16.0,-893.0,-85.0,96.0
2024-12-05 22:02:05,16,16.0,126.0,-489.0,16.0
2024-12-05 21:51:31,16,16.0,16.0,16.0,16.0
2024-12-05 21:56:26,16,16.0,116.0,16.0,16.0
2024-12-05 21:51:09,106,16.0,176.0,16.0,16.0
2024-12-05 21:59:56,16,16.0,16.0,16.0,16.0
2024-12-05 21:49:02,-25,16.0,-85.0,-186.0,16.0
2024-12-05 21:55:39,-792,-691.0,-388.0,-994.0,16.0
2024-12-05 21:56:21,-147,-893.0,-359.0,-287.0,46.0
2024-12-05 21:51:36,-388,96.0,75.0,-429.0,86.0
2024-12-05 22:02:02,16,16.0,86.0,16.0,16.0
2024-12-05 21:55:06,56,16.0,146.0,16.0,166.0
2024-12-05 21:52:11,36,16.0,106.0,16.0,16.0
2024-12-05 22:01:25,-85,16.0,66.0,-186.0,16.0
2024-12-05 21:56:28,-691,126.0,106.0,-186.0,136.0
2024-12-05 21:52:18,-893,-388.0,-590.0,-1095.0,16.0
2024-12-05 21:49:34,16,16.0,176.0,16.0,176.0
2024-12-05 22:02:34,-691,-489.0,-792.0,16.0,-590.0
2024-12-05 21:56:17,-691,-186.0,-792.0,-691.0,16.0
2024-12-05 21:51:00,16,16.0,16.0,16.0,16.0
2024-12-05 22:01:13,-792,56.0,156.0,5.0,126.0
2024-12-05 21:46:43,16,16.0,16.0,16.0,16.0
2024-12-05 21:55:30,-893,-691.0,96.0,-691.0,-590.0
